time,data
0,-0.10391553
44,-0.10391553
94,-0.10379345
144,-0.10379345
194,-0.10379345
244,-0.10379345
294,-0.10382397
344,-0.10382397
394,-0.10382397
444,-0.10382397
495,-0.10382397
544,-0.1037019
594,-0.1037019
644,-0.1037019
694,-0.1037019
744,-0.1037019
794,-0.1037019
844,-0.1037019
897,-0.1037019
945,-0.10361034
994,-0.10361034
1043,-0.10361034
1093,-0.10361034
1144,-0.10357982
1194,-0.10357982
1244,-0.10357982
1294,-0.10357982
1344,-0.10348827
1394,-0.10348827
1444,-0.10348827
1494,-0.10348827
1544,-0.10336619
1593,-0.10336619
1644,-0.10336619
1693,-0.10336619
1744,-0.10333567
1794,-0.10333567
1844,-0.10333567
1893,-0.10333567
1943,-0.10318308
1994,-0.10318308
2044,-0.10318308
2094,-0.10318308
2144,-0.103152566
2194,-0.103152566
2243,-0.103152566
2294,-0.103152566
2344,-0.10309152
2394,-0.10303049
2444,-0.10303049
2494,-0.10303049
2544,-0.10303049
2594,-0.10303049
2644,-0.10303049
2694,-0.10303049
2744,-0.10303049
2794,-0.10290842
2844,-0.10290842
2894,-0.10290842
2944,-0.10290842
2994,-0.10287789
3044,-0.10287789
3093,-0.10287789
3144,-0.10287789
3194,-0.10281686
3244,-0.10281686
3294,-0.10281686
3344,-0.10281686
3394,-0.10278634
3444,-0.10278634
3494,-0.10278634
3544,-0.10278634
3594,-0.10266427
3644,-0.10266427
3694,-0.10266427
3744,-0.10266427
3794,-0.10248116
3844,-0.10248116
3895,-0.10248116
3944,-0.10248116
3994,-0.102511674
4044,-0.102511674
4094,-0.102511674
4144,-0.102511674
4194,-0.10235908
4244,-0.10235908
4294,-0.10235908
4344,-0.10235908
4400,-0.10235908
4447,-0.10235908
4495,-0.10235908
4545,-0.10235908
4595,-0.10235908
4644,-0.10220649
4694,-0.10220649
4744,-0.10220649
4794,-0.10220649
4844,-0.10220649
4894,-0.10220649
4944,-0.10220649
4995,-0.10220649
5044,-0.10208441
5094,-0.10208441
5145,-0.10208441
5195,-0.10208441
5245,-0.10196234
5295,-0.10202338
5345,-0.10202338
5395,-0.101931825
5445,-0.10199286
5495,-0.10199286
5545,-0.10199286
5595,-0.10199286
5645,-0.101931825
5695,-0.101931825
5745,-0.101931825
5795,-0.101931825
5846,-0.10187078
5895,-0.10187078
