time,data
0,-0.09256264
39,-0.09256264
87,-0.0925016
137,-0.0925016
186,-0.0925016
237,-0.0925016
287,-0.09253212
338,-0.09253212
387,-0.09253212
437,-0.09253212
487,-0.092471085
536,-0.092471085
587,-0.092471085
637,-0.092471085
686,-0.092471085
737,-0.092471085
787,-0.092471085
837,-0.092471085
887,-0.09241005
936,-0.09241005
987,-0.09241005
1036,-0.09241005
1087,-0.09244057
1137,-0.09244057
1187,-0.09244057
1237,-0.09244057
1286,-0.09234901
1337,-0.09234901
1386,-0.09234901
1437,-0.09234901
1487,-0.09241005
1537,-0.09241005
1587,-0.09241005
1637,-0.09241005
1687,-0.09241005
1737,-0.092379525
1787,-0.092379525
1837,-0.092379525
1887,-0.092379525
1937,-0.09228797
1987,-0.09228797
2037,-0.09228797
2087,-0.09228797
2136,-0.09231849
2187,-0.09231849
2237,-0.09231849
2286,-0.09231849
2337,-0.09222694
2386,-0.09222694
2437,-0.09222694
2487,-0.09222694
2537,-0.09228797
2587,-0.09228797
2637,-0.09228797
2687,-0.09228797
2737,-0.09219642
2787,-0.09219642
2837,-0.09219642
2887,-0.09219642
2937,-0.09228797
2987,-0.09228797
3037,-0.09228797
3087,-0.09228797
3137,-0.0921659
3187,-0.0921659
3237,-0.0921659
3286,-0.0921659
3337,-0.09222694
3386,-0.09222694
3437,-0.09222694
3487,-0.09222694
3537,-0.09219642
3587,-0.09213538
3637,-0.09213538
3686,-0.09213538
3737,-0.09213538
3786,-0.09222694
3837,-0.09222694
3887,-0.09222694
3937,-0.09222694
3987,-0.0921659
4037,-0.0921659
4087,-0.0921659
4137,-0.0921659
4187,-0.09210486
4236,-0.09210486
4287,-0.09210486
4337,-0.09210486
4388,-0.09210486
4437,-0.09210486
4487,-0.09210486
4537,-0.09210486
4587,-0.09207434
4636,-0.09207434
4687,-0.09207434
4737,-0.09207434
4787,-0.09210486
4837,-0.09210486
4887,-0.09210486
4937,-0.09210486
4987,-0.092043824
5037,-0.092043824
5087,-0.092043824
5136,-0.092043824
5187,-0.09207434
5237,-0.09207434
5287,-0.09207434
5337,-0.09207434
5387,-0.09201331
5437,-0.09201331
5487,-0.09201331
5537,-0.09201331
5587,-0.09207434
5637,-0.09207434
5687,-0.09207434
5737,-0.09207434
5787,-0.09198279
5837,-0.09201331
5887,-0.09201331
5937,-0.09201331
5987,-0.09201331
6037,-0.09201331
6087,-0.09201331
6137,-0.09201331
6187,-0.09201331
6237,-0.09201331
6287,-0.09201331
6337,-0.09201331
6387,-0.09201331
6437,-0.091921754
6487,-0.091921754
6537,-0.091921754
6587,-0.091921754
6637,-0.091921754
6687,-0.091921754
6736,-0.091921754
6787,-0.091921754
6837,-0.09189123
6887,-0.09189123
6937,-0.09189123
6986,-0.09189123
7037,-0.091921754
7087,-0.091921754
7137,-0.091921754
7186,-0.091921754
7237,-0.09186071
7287,-0.09186071
7337,-0.09186071
7387,-0.09186071
7437,-0.091921754
7487,-0.091921754
7537,-0.091921754
7587,-0.091921754
7637,-0.091830194
7687,-0.091830194
7737,-0.091830194
7787,-0.091830194
7837,-0.091830194
7887,-0.09189123
7937,-0.09189123
7987,-0.09189123
8037,-0.09189123
8087,-0.09186071
8137,-0.09186071
8187,-0.09186071
8237,-0.09186071
8287,-0.09179968
8337,-0.09179968
8391,-0.09176916
8438,-0.09179968
8487,-0.09179968
8537,-0.09179968
8587,-0.09179968
8638,-0.09179968
8690,-0.09173864
8740,-0.09173864
8788,-0.09173864
8838,-0.09173864
8888,-0.09173864
8939,-0.09173864
8988,-0.09173864
9041,-0.09173864
9088,-0.09170812
9138,-0.09170812
9188,-0.09170812
9237,-0.09170812
9288,-0.09170812
9338,-0.09170812
9389,-0.09170812
9438,-0.09170812
9488,-0.09164708
9538,-0.09164708
9590,-0.09164708
9638,-0.09164708
9688,-0.09173864
9741,-0.09173864
9789,-0.09173864
9838,-0.09173864
9890,-0.09161656
9939,-0.091677606
9990,-0.091677606
10039,-0.091677606
10090,-0.091677606
10139,-0.091586046
10189,-0.091586046
10239,-0.091586046
10289,-0.091586046
10338,-0.091677606
10392,-0.091677606
10440,-0.091677606
10489,-0.091677606
10538,-0.09155553
10588,-0.09155553
10638,-0.09155553
10688,-0.09155553
10738,-0.09161656
10788,-0.09161656
10838,-0.09161656
10889,-0.09161656
10939,-0.09155553
10989,-0.09155553
11038,-0.09155553
11089,-0.09155553
11141,-0.091586046
11188,-0.091586046
11239,-0.091586046
11288,-0.091586046
11337,-0.09155553
11388,-0.09155553
11438,-0.09155553
11488,-0.09155553
11538,-0.091586046
11589,-0.091586046
11638,-0.091586046
11689,-0.091586046
11738,-0.09155553
11788,-0.09155553
11837,-0.09155553
11887,-0.09155553
11937,-0.09161656
11987,-0.09161656
12036,-0.09161656
12087,-0.09161656
12137,-0.091586046
12187,-0.091586046
12237,-0.091586046
12287,-0.091586046
12337,-0.091586046
12388,-0.09149449
12437,-0.09149449
12488,-0.09149449
12537,-0.09149449
12587,-0.09155553
12637,-0.09155553
12688,-0.09155553
12738,-0.09155553
12792,-0.09149449
12840,-0.09149449
12888,-0.09149449
12939,-0.09149449
12987,-0.09152501
13038,-0.09152501
13089,-0.09152501
13138,-0.09152501
13191,-0.09143346
13239,-0.09143346
13289,-0.09143346
13338,-0.09143346
13390,-0.09152501
13439,-0.09152501
13491,-0.09152501
13540,-0.09152501
13588,-0.09143346
13639,-0.09143346
13691,-0.09143346
13740,-0.09143346
13789,-0.09152501
13840,-0.09152501
13888,-0.09152501
