time,data
0,0.07049776
44,0.07049776
94,0.07049776
144,0.070528276
194,0.070528276
244,0.070528276
294,0.070528276
344,0.070528276
394,0.070528276
444,0.070528276
495,0.070528276
544,0.070528276
594,0.070528276
644,0.070528276
694,0.070528276
744,0.070528276
794,0.070528276
844,0.070528276
897,0.070528276
945,0.070558794
994,0.070558794
1043,0.070558794
1093,0.070558794
1144,0.070558794
1194,0.070558794
1244,0.070558794
1294,0.070558794
1344,0.070558794
1394,0.070558794
1444,0.070558794
1494,0.070558794
1544,0.070528276
1593,0.070528276
1644,0.070528276
1693,0.070528276
1744,0.070528276
1794,0.070528276
1844,0.070528276
1893,0.070528276
1943,0.070528276
1994,0.070528276
2044,0.070528276
2094,0.070528276
2144,0.070558794
2194,0.070558794
2243,0.070558794
2294,0.070558794
2344,0.070558794
2394,0.070558794
2444,0.070558794
2494,0.070558794
2544,0.070558794
2594,0.070558794
2644,0.070558794
2694,0.070558794
2744,0.070558794
2794,0.070558794
2844,0.070558794
2894,0.070558794
2944,0.070558794
2994,0.070528276
3044,0.070528276
3093,0.070528276
3144,0.070528276
3194,0.070558794
3244,0.070558794
3294,0.070558794
3344,0.070558794
3394,0.070528276
3444,0.070528276
3494,0.070528276
3544,0.070528276
3594,0.070528276
3644,0.070528276
3694,0.070528276
3744,0.070528276
3794,0.070528276
3844,0.070528276
3895,0.070528276
3944,0.070528276
3994,0.070528276
4044,0.070528276
4094,0.070528276
4144,0.070528276
4194,0.070528276
4244,0.070528276
4294,0.070528276
4344,0.070528276
4400,0.070528276
4447,0.070528276
4495,0.070528276
4545,0.070528276
4595,0.070528276
4644,0.07049776
4694,0.07049776
4744,0.07049776
4794,0.07049776
4844,0.070528276
4894,0.070528276
4944,0.070528276
4995,0.070528276
5044,0.070528276
5094,0.070528276
5145,0.070528276
5195,0.070528276
5245,0.07049776
5295,0.070528276
5345,0.070528276
5395,0.070528276
5445,0.070528276
5495,0.070528276
5545,0.070528276
5595,0.070528276
5645,0.070528276
5695,0.070528276
5745,0.070528276
5795,0.070528276
5846,0.070528276
5895,0.070528276
5945,0.070528276
5996,0.070528276
6046,0.07049776
6095,0.07049776
6145,0.07049776
6195,0.07049776
6245,0.070528276
6295,0.070528276
6345,0.070528276
6395,0.070528276
6445,0.07049776
6495,0.07049776
6545,0.07049776
6595,0.07049776
6645,0.070528276
6696,0.07049776
6745,0.07049776
6795,0.07049776
6845,0.07049776
6896,0.07046724
6945,0.07046724
6995,0.07046724
7045,0.07046724
7095,0.07046724
7145,0.07046724
7194,0.07046724
7245,0.07046724
7295,0.07046724
7345,0.07046724
7396,0.07046724
7445,0.07046724
7495,0.07043672
7545,0.07043672
7595,0.07043672
7645,0.07043672
7695,0.07043672
7745,0.07043672
7795,0.07043672
7845,0.07043672
7895,0.0704062
7946,0.0704062
7996,0.0704062
8046,0.0704062
8096,0.07043672
8146,0.0704062
8195,0.07043672
8245,0.07043672
8296,0.0704062
8345,0.0704062
8395,0.0704062
8445,0.0704062
8496,0.07043672
8546,0.07043672
8595,0.07043672
8646,0.07043672
8695,0.0704062
8745,0.0704062
8795,0.0704062
8845,0.0704062
8895,0.0704062
8945,0.0704062
8995,0.0704062
9045,0.0704062
9095,0.0704062
9145,0.07037568
9195,0.07037568
9245,0.0704062
9295,0.0704062
9345,0.07037568
9395,0.07037568
9445,0.07037568
9495,0.07037568
9545,0.0704062
9595,0.0704062
9645,0.0704062
9695,0.0704062
9745,0.07037568
9795,0.07037568
9845,0.07037568
9895,0.07037568
9947,0.07037568
9995,0.07037568
10045,0.07037568
10096,0.07037568
10146,0.07034516
10196,0.07034516
10245,0.07034516
10295,0.07034516
10346,0.07034516
10396,0.07034516
10445,0.07034516
10496,0.07034516
10545,0.07034516
10595,0.07034516
10644,0.07034516
10694,0.07034516
10745,0.07034516
10795,0.07034516
10845,0.07034516
10895,0.07034516
10946,0.070314646
10995,0.070314646
11045,0.070314646
11095,0.070314646
11145,0.070314646
11195,0.070314646
11245,0.070314646
11295,0.070314646
11345,0.070314646
11395,0.07028413
11445,0.07028413
11495,0.07028413
11545,0.07028413
11594,0.07028413
11645,0.07028413
11694,0.07028413
11745,0.07028413
11795,0.07025361
11843,0.07025361
11896,0.07025361
11946,0.07025361
11996,0.07025361
12045,0.07025361
12096,0.07025361
12145,0.07025361
12195,0.07025361
12245,0.07025361
12295,0.07025361
12345,0.07025361
12396,0.07022309
12445,0.07022309
12495,0.07022309
12545,0.07022309
12596,0.07025361
12646,0.07025361
12695,0.07025361
12746,0.07025361
12796,0.07022309
12846,0.07022309
12896,0.07022309
12945,0.07022309
12996,0.07022309
13046,0.07022309
13096,0.07022309
13146,0.07022309
13196,0.07022309
13246,0.070192575
13296,0.070192575
13346,0.070192575
13396,0.070192575
13445,0.07022309
13495,0.07022309
13545,0.07022309
13595,0.07022309
13645,0.070192575
13695,0.070192575
13745,0.070192575
13795,0.070192575
13845,0.070192575
13895,0.070192575
13945,0.070192575
13995,0.070192575
14045,0.070192575
14095,0.070192575
14145,0.070192575
14195,0.070192575
14245,0.07016205
14295,0.07016205
14345,0.07016205
14395,0.07016205
14445,0.07016205
14495,0.07016205
14545,0.07016205
14596,0.07016205
14645,0.07013153
14695,0.07013153
14746,0.07013153
14796,0.07013153
14846,0.07013153
14896,0.07013153
14946,0.07013153
14995,0.07013153
15045,0.07013153
15095,0.070101015
15145,0.070101015
15195,0.070101015
15245,0.070101015
15295,0.070101015
15345,0.070101015
15396,0.070101015
15446,0.070101015
15496,0.0700705
15545,0.0700705
15595,0.0700705
15646,0.0700705
15695,0.0700705
15745,0.0700705
15795,0.0700705
15845,0.0700705
15895,0.07003998
15945,0.07003998
15995,0.07003998
16045,0.07003998
16095,0.0700705
16145,0.0700705
16195,0.0700705
16245,0.0700705
16295,0.07003998
16345,0.07003998
16395,0.07003998
16445,0.07003998
16495,0.07003998
16545,0.07003998
16595,0.07003998
16645,0.07003998
16696,0.07000946
16745,0.07000946
16795,0.07000946
16845,0.07000946
16895,0.069978945
16945,0.069978945
16995,0.069978945
17046,0.069978945
17096,0.07000946
17144,0.07000946
17194,0.07000946
17245,0.07000946
17295,0.06994843
17344,0.06994843
17395,0.06994843
17445,0.06994843
17495,0.06994843
17545,0.06994843
17595,0.06994843
17644,0.06994843
17695,0.06994843
17745,0.0699179
17795,0.0699179
17845,0.0699179
17896,0.0699179
17945,0.06994843
17995,0.06994843
18045,0.06994843
18095,0.06994843
18145,0.0699179
18195,0.0699179
18245,0.0699179
18295,0.0699179
18345,0.0699179
18395,0.069887385
18445,0.069887385
18495,0.069887385
18545,0.069887385
18595,0.069887385
18645,0.069887385
18695,0.069887385
18744,0.069887385
18795,0.069887385
18844,0.069887385
18895,0.069887385
18945,0.069887385
18995,0.069887385
19045,0.069887385
19096,0.069887385
19145,0.06985687
19195,0.06985687
19245,0.06985687
19295,0.06985687
19345,0.06982635
19395,0.06985687
19445,0.06985687
19495,0.06985687
19546,0.06985687
19596,0.06982635
19646,0.06982635
19696,0.06982635
19745,0.06982635
19796,0.06982635
19846,0.06982635
19896,0.06982635
19945,0.06982635
19995,0.069765314
20045,0.069765314
20096,0.069765314
20146,0.069765314
20196,0.06979583
20246,0.06979583
20296,0.06979583
20345,0.06979583
20395,0.06979583
20445,0.06979583
20495,0.06979583
20545,0.06979583
20595,0.069765314
20645,0.069765314
20695,0.069765314
20745,0.069765314
20795,0.069765314
20846,0.069765314
20895,0.069765314
20945,0.069765314
20996,0.0697348
21045,0.0697348
21095,0.0697348
21143,0.0697348
21196,0.0697348
21245,0.0697348
21296,0.0697348
21345,0.0697348
21395,0.069673754
21445,0.069673754
21495,0.069673754
21545,0.069673754
21595,0.06970428
21645,0.069673754
21695,0.069673754
21745,0.069673754
21795,0.069673754
21845,0.069673754
21895,0.069673754
21944,0.069673754
21995,0.069673754
22044,0.069673754
22094,0.069673754
22144,0.069673754
22193,0.069673754
22244,0.06964324
22294,0.06964324
22344,0.06964324
22394,0.06964324
22444,0.06964324
22494,0.06964324
22544,0.06964324
22594,0.06964324
22644,0.06961272
22694,0.06961272
22745,0.06961272
22795,0.06961272
22845,0.06964324
22895,0.06964324
22944,0.06964324
22995,0.06964324
23045,0.06961272
23093,0.06961272
23145,0.06961272
23195,0.06961272
23245,0.0695822
23295,0.0695822
23346,0.0695822
23396,0.0695822
23445,0.0695822
23495,0.0695822
23545,0.0695822
23595,0.0695822
23645,0.0695822
23695,0.069551684
23746,0.069551684
23796,0.069551684
23846,0.069551684
23895,0.0695822
23945,0.0695822
23995,0.0695822
24046,0.0695822
24096,0.06952117
24145,0.06952117
24195,0.06952117
24245,0.06952117
24295,0.069551684
24345,0.069551684
24395,0.069551684
24445,0.069551684
24495,0.06949065
24545,0.06949065
24595,0.06949065
24645,0.06949065
24695,0.06949065
24745,0.06949065
24795,0.06949065
24845,0.06949065
24895,0.06949065
24945,0.06949065
24995,0.06949065
25045,0.06949065
25096,0.06946013
25145,0.06946013
25196,0.06946013
25245,0.06946013
25295,0.06946013
25346,0.06946013
25396,0.06946013
25446,0.06946013
