time,data
0,0.2809534
41,0.2809534
88,0.2809534
137,0.2809534
186,0.28101444
236,0.2811365
286,0.2811365
336,0.2811365
386,0.2811365
436,0.28122807
486,0.28122807
536,0.28122807
586,0.28122807
636,0.28141117
686,0.28141117
736,0.28141117
786,0.28141117
836,0.28156376
886,0.28156376
936,0.28156376
986,0.28156376
1036,0.2817469
1086,0.2817469
1136,0.2817469
1186,0.2817469
1236,0.28183845
1286,0.28183845
1336,0.28183845
1386,0.28183845
1436,0.28202155
1486,0.28202155
1536,0.28202155
1586,0.28202155
1636,0.28220466
1686,0.28220466
1736,0.28220466
1786,0.28220466
1836,0.28232673
1886,0.28232673
1936,0.28232673
1986,0.28232673
2036,0.28238776
2086,0.28238776
2136,0.28238776
2186,0.28238776
2236,0.2824488
2286,0.28250983
2336,0.28250983
2386,0.28250983
2436,0.28250983
2486,0.28269294
2536,0.28269294
2586,0.28269294
2636,0.28269294
2686,0.28278452
2736,0.28278452
2786,0.28278452
2836,0.28278452
2886,0.2829371
2936,0.2829371
2986,0.2829371
3036,0.2829371
3086,0.28302866
3136,0.28302866
3186,0.28302866
3236,0.28302866
3286,0.28321177
3336,0.28321177
3386,0.28321177
3436,0.28321177
3486,0.28336436
3536,0.28336436
3586,0.28336436
3636,0.28336436
3686,0.28348643
3736,0.28348643
3786,0.28348643
3836,0.28348643
3886,0.28366953
3936,0.28366953
3986,0.28366953
4036,0.28366953
4086,0.28382215
4136,0.28382215
4186,0.28382215
4236,0.28382215
4286,0.28400525
4336,0.28400525
4386,0.28400525
4436,0.28400525
4486,0.28400525
4536,0.28412732
4586,0.28412732
4636,0.28412732
4686,0.28412732
4736,0.2842494
4786,0.2842494
4836,0.2842494
4886,0.2842494
4936,0.28437147
4986,0.28437147
5036,0.28437147
5086,0.28437147
5136,0.28452405
5186,0.28452405
5236,0.28452405
5286,0.28452405
5336,0.28467667
5386,0.28467667
5436,0.28467667
5486,0.28467667
5536,0.28476822
5586,0.28476822
5636,0.28476822
5686,0.28476822
5736,0.28495133
5786,0.28495133
5836,0.28495133
5886,0.28495133
5936,0.28501236
5986,0.28501236
6036,0.28501236
6086,0.28501236
6136,0.28516495
6186,0.28519547
6236,0.285226
6286,0.2852565
6336,0.2852565
6386,0.2852565
6436,0.2852565
6486,0.2852565
6536,0.28534806
6586,0.2854396
6636,0.2854396
6686,0.2854396
6736,0.2854396
6786,0.28556168
