time,data/763/norm1,data/1433/norm1
0,-0.010834071,0.072115235
41,-0.010834071,0.072115235
88,-0.010956145,0.07208472
137,-0.010956145,0.07208472
187,-0.010956145,0.07208472
237,-0.010956145,0.07208472
287,-0.011108737,0.072115235
337,-0.011108737,0.07214576
388,-0.011108737,0.07214576
439,-0.011108737,0.07214576
487,-0.011108737,0.07214576
537,-0.01126133,0.07217628
587,-0.01126133,0.07217628
637,-0.01126133,0.07217628
687,-0.01126133,0.07217628
736,-0.0114139225,0.07217628
787,-0.0114139225,0.07217628
837,-0.0114139225,0.07217628
887,-0.0114139225,0.07217628
937,-0.011597034,0.07217628
987,-0.011597034,0.07217628
1037,-0.011597034,0.07217628
1087,-0.011597034,0.07217628
1138,-0.011719108,0.07223731
1187,-0.011719108,0.07223731
1237,-0.011719108,0.07223731
1287,-0.011719108,0.07223731
1337,-0.0118717,0.07223731
1387,-0.0118717,0.07223731
1437,-0.0118717,0.07223731
1487,-0.0118717,0.07223731
1537,-0.011993774,0.07226783
1587,-0.011993774,0.07226783
1637,-0.011993774,0.07226783
1687,-0.011993774,0.07226783
1737,-0.012176885,0.07229835
1787,-0.012176885,0.07229835
1837,-0.012176885,0.07229835
1887,-0.012176885,0.07229835
1937,-0.012298959,0.07229835
1988,-0.012298959,0.07229835
2037,-0.012298959,0.07229835
2087,-0.012298959,0.07229835
2138,-0.01248207,0.07235938
2187,-0.01248207,0.07235938
2238,-0.01248207,0.07235938
2287,-0.01248207,0.07235938
2337,-0.012634663,0.072328866
2388,-0.012634663,0.072328866
2437,-0.012634663,0.072328866
2488,-0.012634663,0.072328866
2539,-0.012634663,0.07235938
2588,-0.012726218,0.07238991
2638,-0.012726218,0.07238991
2688,-0.012726218,0.07238991
2739,-0.012726218,0.07238991
2788,-0.012878811,0.07238991
2838,-0.012878811,0.07238991
2888,-0.012878811,0.07238991
2938,-0.012878811,0.07238991
2988,-0.012939848,0.072420426
3038,-0.012939848,0.072420426
3088,-0.012939848,0.072420426
3139,-0.012939848,0.072420426
3189,-0.013122959,0.07245094
