time,data/763/norm1,data/1433/norm1
0,0.19031343,0.097170934
40,0.19031343,0.097170934
90,0.19040498,0.09726249
140,0.19040498,0.09726249
189,0.19040498,0.09726249
240,0.19046602,0.09732353
290,0.19049653,0.09735405
340,0.19049653,0.097384565
390,0.19052705,0.0974456
440,0.19055757,0.0974456
489,0.19055757,0.0974456
540,0.19055757,0.0974456
589,0.19055757,0.0974456
639,0.19055757,0.0974456
689,0.19058809,0.09753716
739,0.19058809,0.09753716
789,0.19058809,0.09753716
839,0.19058809,0.09753716
889,0.19064912,0.09756768
939,0.19064912,0.09756768
989,0.19064912,0.09756768
1039,0.19064912,0.09756768
1089,0.19083224,0.09768975
1139,0.19083224,0.09768975
1189,0.19083224,0.09768975
1239,0.19083224,0.09768975
1289,0.19089328,0.09775078
1339,0.19089328,0.09775078
1389,0.19089328,0.09775078
1439,0.19089328,0.09775078
1489,0.19098483,0.097811826
1539,0.19098483,0.097811826
1589,0.19098483,0.097811826
1639,0.19098483,0.097811826
1689,0.19104587,0.09787286
1739,0.19104587,0.09787286
1789,0.19104587,0.09787286
1838,0.19104587,0.09787286
1890,0.19107638,0.09790338
1939,0.1911069,0.09796441
1989,0.1911069,0.09796441
2039,0.1911069,0.09796441
2089,0.1911069,0.09796441
2139,0.19116795,0.098025456
2189,0.19116795,0.098025456
2239,0.19116795,0.098025456
2289,0.19116795,0.098025456
2339,0.19122899,0.09811701
2389,0.19122899,0.09811701
2439,0.19122899,0.09811701
2489,0.19122899,0.09811701
2539,0.19135106,0.098178044
2589,0.19135106,0.098178044
2639,0.19135106,0.098178044
2689,0.19135106,0.098178044
2739,0.19141209,0.09823908
2789,0.19141209,0.09823908
2839,0.19141209,0.09823908
2889,0.19141209,0.09823908
2939,0.19147313,0.09833064
2989,0.19147313,0.09833064
3039,0.19147313,0.09833064
3089,0.19147313,0.09833064
3139,0.19153416,0.09845271
3189,0.19153416,0.09845271
3239,0.19153416,0.09845271
3289,0.19153416,0.09845271
3339,0.19162571,0.09854427
3389,0.19162571,0.09854427
3439,0.19162571,0.09854427
3489,0.19162571,0.09854427
3539,0.19168676,0.09863582
3589,0.19168676,0.09863582
3639,0.19168676,0.09863582
3689,0.19168676,0.09863582
3739,0.1917478,0.09869686
3789,0.1917478,0.09869686
3839,0.1917478,0.09869686
3889,0.1917478,0.09869686
3939,0.19183935,0.0987579
3989,0.19183935,0.0987579
4039,0.19183935,0.0987579
4089,0.19183935,0.0987579
4139,0.19183935,0.0987579
4189,0.1919309,0.09884945
4239,0.1919309,0.09884945
4289,0.1919309,0.09884945
4339,0.1919309,0.09884945
4389,0.19196142,0.09891049
4439,0.19196142,0.09891049
4489,0.19196142,0.09891049
4539,0.19196142,0.09891049
4588,0.19202246,0.09900205
4639,0.19202246,0.09900205
4689,0.19202246,0.09900205
4739,0.19202246,0.09900205
4789,0.19211401,0.09906308
4839,0.19211401,0.09906308
4889,0.19214454,0.0990936
4939,0.19220558,0.0990936
4989,0.19220558,0.0990936
5039,0.19220558,0.0990936
5089,0.19220558,0.0990936
5139,0.19220558,0.0990936
5189,0.1922361,0.09912412
5239,0.1922361,0.09912412
5289,0.1922361,0.09912412
5339,0.1922361,0.09912412
5389,0.19226661,0.0992462
5439,0.19226661,0.0992462
5489,0.19226661,0.0992462
5539,0.19226661,0.0992462
5589,0.19235817,0.099276714
5639,0.19235817,0.099276714
5690,0.19235817,0.099276714
5739,0.19235817,0.099276714
5789,0.1924192,0.09933775
5839,0.1924192,0.09933775
5889,0.1924192,0.09933775
5939,0.1924192,0.09933775
5989,0.19248024,0.09936827
6039,0.19248024,0.099398784
6089,0.19248024,0.099398784
6140,0.19248024,0.099398784
6189,0.19254127,0.0994293
6239,0.19254127,0.0994293
6289,0.19254127,0.0994293
6339,0.19254127,0.0994293
6389,0.19254127,0.0994293
6439,0.1926023,0.099490345
6489,0.1926023,0.099490345
6539,0.1926023,0.099490345
6589,0.1926023,0.099490345
6639,0.19272439,0.09952086
6689,0.19272439,0.09952086
6739,0.19272439,0.09952086
6789,0.19272439,0.09952086
6839,0.19275491,0.099612415
6889,0.19275491,0.099612415
6939,0.19275491,0.099612415
6989,0.19275491,0.099612415
7039,0.19287698,0.099612415
7089,0.19287698,0.099612415
7139,0.19287698,0.099612415
7189,0.19287698,0.099612415
7239,0.19293801,0.09970397
7289,0.19293801,0.09970397
7339,0.19293801,0.09970397
7389,0.19293801,0.09970397
7439,0.19302957,0.09970397
7489,0.19302957,0.09970397
7539,0.19302957,0.09970397
7588,0.19302957,0.09970397
7639,0.1930906,0.09976501
7689,0.1930906,0.09976501
7739,0.1930906,0.09976501
7789,0.1930906,0.09976501
7839,0.19312114,0.09976501
7889,0.19312114,0.09976501
7939,0.19312114,0.09976501
7989,0.19312114,0.09976501
8039,0.19321269,0.099826045
8089,0.19321269,0.099826045
8139,0.19321269,0.099826045
8189,0.19321269,0.099826045
8239,0.1932432,0.099826045
8289,0.19327372,0.09985656
8339,0.19327372,0.09985656
8389,0.19327372,0.09985656
8439,0.19327372,0.09985656
8489,0.19333476,0.09988708
8539,0.19333476,0.09988708
8589,0.19333476,0.09988708
8639,0.19333476,0.09988708
8689,0.19342631,0.0999176
8739,0.19342631,0.0999176
8789,0.19342631,0.0999176
8839,0.19342631,0.0999176
8889,0.19345683,0.0999176
8939,0.19345683,0.0999176
8989,0.19345683,0.0999176
9039,0.19345683,0.0999176
9089,0.19354838,0.0999176
9139,0.19354838,0.0999176
9189,0.19354838,0.0999176
9239,0.19354838,0.0999176
9289,0.19363995,0.0999176
9339,0.19363995,0.0999176
9389,0.19363995,0.0999176
9439,0.19363995,0.0999176
9489,0.19367047,0.099948116
9539,0.19367047,0.099948116
9589,0.19367047,0.099948116
9639,0.19367047,0.099948116
9689,0.19370098,0.099948116
9739,0.19370098,0.099948116
9789,0.19370098,0.099948116
9839,0.19370098,0.099948116
9889,0.19379254,0.09997864
9939,0.19379254,0.09997864
9990,0.19379254,0.09997864
10039,0.19379254,0.09997864
10089,0.19385357,0.09997864
10139,0.19385357,0.09997864
10189,0.19385357,0.09997864
10239,0.19385357,0.09997864
10289,0.1939146,0.100039676
10339,0.1939146,0.100039676
10389,0.1939146,0.100039676
10438,0.1939146,0.100039676
10488,0.19397564,0.10000916
10538,0.19403668,0.100039676
10588,0.19403668,0.100039676
10639,0.19403668,0.100039676
10688,0.19403668,0.100039676
10738,0.1940672,0.100039676
10788,0.1940672,0.100039676
10838,0.1940672,0.100039676
10888,0.1940672,0.100039676
10938,0.19418928,0.10007019
10988,0.19418928,0.10007019
11038,0.19418928,0.10007019
11088,0.19418928,0.10007019
11138,0.19418928,0.10007019
11188,0.19418928,0.10007019
11238,0.19418928,0.10007019
11288,0.19418928,0.10007019
11338,0.19428083,0.10010071
11389,0.19428083,0.10010071
11439,0.19428083,0.10010071
11489,0.19428083,0.10010071
11539,0.19431135,0.10010071
11589,0.19431135,0.10010071
11639,0.19431135,0.10010071
11689,0.19431135,0.10010071
11739,0.1944029,0.10010071
11789,0.1944029,0.10010071
11839,0.1944029,0.10010071
11889,0.1944029,0.10010071
11939,0.19446394,0.10013123
11989,0.19446394,0.10013123
12039,0.19446394,0.10013123
12089,0.19446394,0.10013123
12139,0.19449446,0.10013123
12189,0.19449446,0.10013123
12239,0.19449446,0.10013123
12289,0.19449446,0.10013123
12339,0.19455549,0.10013123
12389,0.19455549,0.10013123
12439,0.19455549,0.10013123
12489,0.19455549,0.10013123
12539,0.19461654,0.100161746
12589,0.19464706,0.100161746
12639,0.19464706,0.100161746
12689,0.19464706,0.100161746
12739,0.19464706,0.100161746
12789,0.19467758,0.100161746
12839,0.19467758,0.100161746
12889,0.19467758,0.100161746
12939,0.19467758,0.100161746
12989,0.19473861,0.10019226
13039,0.19473861,0.10019226
13089,0.19473861,0.10019226
13139,0.19473861,0.10019226
13189,0.19483016,0.10019226
13239,0.19483016,0.10019226
13289,0.19483016,0.10019226
13339,0.19483016,0.10019226
13389,0.1948912,0.10019226
13439,0.1948912,0.10019226
13489,0.1948912,0.10019226
13539,0.1948912,0.10019226
13589,0.19495223,0.10019226
13639,0.19495223,0.10019226
