time,data/763/norm1,data/1433/norm1
0,-0.10391553,0.07049776
44,-0.10391553,0.07049776
94,-0.10379345,0.07049776
144,-0.10379345,0.070528276
194,-0.10379345,0.070528276
244,-0.10379345,0.070528276
294,-0.10382397,0.070528276
344,-0.10382397,0.070528276
394,-0.10382397,0.070528276
444,-0.10382397,0.070528276
495,-0.10382397,0.070528276
544,-0.1037019,0.070528276
594,-0.1037019,0.070528276
644,-0.1037019,0.070528276
694,-0.1037019,0.070528276
744,-0.1037019,0.070528276
794,-0.1037019,0.070528276
844,-0.1037019,0.070528276
897,-0.1037019,0.070528276
945,-0.10361034,0.070558794
994,-0.10361034,0.070558794
1043,-0.10361034,0.070558794
1093,-0.10361034,0.070558794
1144,-0.10357982,0.070558794
1194,-0.10357982,0.070558794
1244,-0.10357982,0.070558794
1294,-0.10357982,0.070558794
1344,-0.10348827,0.070558794
1394,-0.10348827,0.070558794
1444,-0.10348827,0.070558794
1494,-0.10348827,0.070558794
1544,-0.10336619,0.070528276
1593,-0.10336619,0.070528276
1644,-0.10336619,0.070528276
1693,-0.10336619,0.070528276
1744,-0.10333567,0.070528276
1794,-0.10333567,0.070528276
1844,-0.10333567,0.070528276
1893,-0.10333567,0.070528276
1943,-0.10318308,0.070528276
1994,-0.10318308,0.070528276
2044,-0.10318308,0.070528276
2094,-0.10318308,0.070528276
2144,-0.103152566,0.070558794
2194,-0.103152566,0.070558794
2243,-0.103152566,0.070558794
2294,-0.103152566,0.070558794
2344,-0.10309152,0.070558794
2394,-0.10303049,0.070558794
2444,-0.10303049,0.070558794
2494,-0.10303049,0.070558794
2544,-0.10303049,0.070558794
2594,-0.10303049,0.070558794
2644,-0.10303049,0.070558794
2694,-0.10303049,0.070558794
2744,-0.10303049,0.070558794
2794,-0.10290842,0.070558794
2844,-0.10290842,0.070558794
2894,-0.10290842,0.070558794
2944,-0.10290842,0.070558794
2994,-0.10287789,0.070528276
3044,-0.10287789,0.070528276
3093,-0.10287789,0.070528276
3144,-0.10287789,0.070528276
3194,-0.10281686,0.070558794
3244,-0.10281686,0.070558794
3294,-0.10281686,0.070558794
3344,-0.10281686,0.070558794
3394,-0.10278634,0.070528276
3444,-0.10278634,0.070528276
3494,-0.10278634,0.070528276
3544,-0.10278634,0.070528276
3594,-0.10266427,0.070528276
3644,-0.10266427,0.070528276
3694,-0.10266427,0.070528276
3744,-0.10266427,0.070528276
3794,-0.10248116,0.070528276
3844,-0.10248116,0.070528276
3895,-0.10248116,0.070528276
3944,-0.10248116,0.070528276
3994,-0.102511674,0.070528276
4044,-0.102511674,0.070528276
4094,-0.102511674,0.070528276
4144,-0.102511674,0.070528276
4194,-0.10235908,0.070528276
4244,-0.10235908,0.070528276
4294,-0.10235908,0.070528276
4344,-0.10235908,0.070528276
4400,-0.10235908,0.070528276
4447,-0.10235908,0.070528276
4495,-0.10235908,0.070528276
4545,-0.10235908,0.070528276
4595,-0.10235908,0.070528276
4644,-0.10220649,0.07049776
4694,-0.10220649,0.07049776
4744,-0.10220649,0.07049776
4794,-0.10220649,0.07049776
4844,-0.10220649,0.070528276
4894,-0.10220649,0.070528276
4944,-0.10220649,0.070528276
4995,-0.10220649,0.070528276
5044,-0.10208441,0.070528276
5094,-0.10208441,0.070528276
5145,-0.10208441,0.070528276
5195,-0.10208441,0.070528276
5245,-0.10196234,0.07049776
5295,-0.10202338,0.070528276
5345,-0.10202338,0.070528276
5395,-0.101931825,0.070528276
5445,-0.10199286,0.070528276
5495,-0.10199286,0.070528276
5545,-0.10199286,0.070528276
5595,-0.10199286,0.070528276
5645,-0.101931825,0.070528276
5695,-0.101931825,0.070528276
5745,-0.101931825,0.070528276
5795,-0.101931825,0.070528276
5846,-0.10187078,0.070528276
5895,-0.10187078,0.070528276
5945,-0.10187078,0.070528276
5996,-0.10187078,0.070528276
6046,-0.10168768,0.07049776
6095,-0.10168768,0.07049776
6145,-0.10168768,0.07049776
6195,-0.10168768,0.07049776
6245,-0.10168768,0.070528276
6295,-0.10168768,0.070528276
6345,-0.10168768,0.070528276
6395,-0.10168768,0.070528276
6445,-0.10153508,0.07049776
6495,-0.10153508,0.07049776
6545,-0.10153508,0.07049776
6595,-0.10153508,0.07049776
6645,-0.101626635,0.070528276
6696,-0.10153508,0.07049776
6745,-0.10153508,0.07049776
