time,data/763/norm1
0,-0.017761772
38,-0.017761772
87,-0.017761772
132,-0.017731255
182,-0.017731255
232,-0.017731255
282,-0.017731255
332,-0.01760918
382,-0.01760918
432,-0.01760918
482,-0.01760918
532,-0.017517624
581,-0.017517624
632,-0.017517624
682,-0.017517624
732,-0.017487107
782,-0.017487107
832,-0.017487107
882,-0.017487107
932,-0.01739555
982,-0.01739555
1032,-0.01739555
1082,-0.01739555
1132,-0.017365033
1185,-0.017365033
1234,-0.017365033
1289,-0.017365033
1338,-0.017242959
1385,-0.017242959
1432,-0.017242959
1482,-0.017242959
1532,-0.017273476
1582,-0.017273476
1632,-0.017273476
1682,-0.017273476
1732,-0.017120885
1782,-0.017120885
1832,-0.017120885
1882,-0.017120885
1932,-0.017120885
1982,-0.017059848
2032,-0.017059848
2082,-0.017059848
2132,-0.017059848
2182,-0.017029328
2232,-0.017029328
2282,-0.017029328
2332,-0.017029328
2382,-0.016937774
2432,-0.016937774
2482,-0.016937774
2532,-0.016937774
2582,-0.016937774
2632,-0.016937774
2682,-0.016937774
2732,-0.016937774
2782,-0.0168157
2832,-0.0168157
2882,-0.0168157
2932,-0.0168157
2982,-0.0168157
3032,-0.0168157
3082,-0.0168157
3132,-0.0168157
3182,-0.016693626
3232,-0.016693626
3282,-0.016693626
3332,-0.016693626
3382,-0.016693626
3432,-0.016693626
3482,-0.016693626
3532,-0.016693626
3582,-0.01660207
3632,-0.01660207
3682,-0.01660207
3732,-0.01660207
3782,-0.016510515
3832,-0.016510515
3882,-0.016510515
3932,-0.016510515
3982,-0.016510515
4032,-0.016510515
4082,-0.016510515
4132,-0.016510515
4182,-0.016510515
4232,-0.016418958
4285,-0.016418958
4334,-0.016418958
4382,-0.016418958
4432,-0.01638844
4482,-0.01638844
4532,-0.01638844
4582,-0.01638844
4632,-0.016296884
4682,-0.016296884
4732,-0.016296884
4782,-0.016296884
4832,-0.016296884
4882,-0.016296884
4932,-0.016296884
4982,-0.016296884
5032,-0.016235847
5082,-0.016235847
5132,-0.016235847
5182,-0.016235847
5232,-0.01620533
