time,data/1433/norm1
0,-0.024231697
236,-0.02438429
486,-0.024414808
736,-0.024567401
986,-0.024536882
1236,-0.024719993
1486,-0.024872586
1736,-0.024903104
1986,-0.025025178
2236,-0.025147252
2486,-0.025208289
2736,-0.025330363
2986,-0.0253914
3236,-0.025482956
3486,-0.025666067
3736,-0.025788141
3986,-0.025818659
4236,-0.025940733
4486,-0.025971252
4736,-0.026123844
4986,-0.026245918
5236,-0.026245918
5486,-0.026367992
5736,-0.026520586
5986,-0.026520586
6236,-0.026703697
6486,-0.026673177
6736,-0.02682577
6986,-0.026978362
7236,-0.027069919
7486,-0.0270394
7736,-0.027100436
7986,-0.027344584
8236,-0.027344584
8486,-0.027497178
8736,-0.027497178
8986,-0.027619252
9237,-0.027741326
9486,-0.027741326
9736,-0.0278634
9986,-0.0278634
10236,-0.028015992
10486,-0.028138066
10736,-0.028138066
10986,-0.02829066
11236,-0.02829066
11486,-0.02844325
11736,-0.028565325
11986,-0.028595844
12236,-0.028656881
12486,-0.028809473
12736,-0.028962066
12986,-0.028992584
13236,-0.029145177
13486,-0.029145177
13736,-0.02929777
13985,-0.029389326
14235,-0.029389326
14485,-0.029541917
14736,-0.029602954
14986,-0.029725028
15236,-0.029725028
15486,-0.029847102
15736,-0.029816585
15986,-0.029938659
16236,-0.030060733
16486,-0.030060733
16736,-0.030152287
16986,-0.030243844
17236,-0.030213324
17486,-0.030274361
17736,-0.030274361
17986,-0.030335398
18236,-0.030396435
18486,-0.030487992
18736,-0.030457472
18986,-0.030549029
19237,-0.030610066
19486,-0.030579546
19736,-0.030579546
19986,-0.03070162
20236,-0.030640583
20486,-0.030671103
20736,-0.030762658
20986,-0.03070162
21236,-0.030793177
21486,-0.030793177
21736,-0.030823695
21986,-0.030762658
22236,-0.030823695
22486,-0.030762658
22736,-0.03073214
22986,-0.030793177
23236,-0.03073214
23486,-0.030793177
23736,-0.03073214
23986,-0.030793177
24236,-0.03073214
24486,-0.030793177
24736,-0.03073214
24986,-0.030671103
25236,-0.03070162
25486,-0.030640583
25736,-0.030640583
25986,-0.03051851
26236,-0.030457472
26486,-0.030365918
26736,-0.030335398
26986,-0.030335398
27236,-0.03012177
27486,-0.03012177
27736,-0.029969176
27986,-0.029969176
28236,-0.029847102
28486,-0.02969451
28736,-0.029572437
28986,-0.029541917
29236,-0.029419843
29486,-0.029267251
29736,-0.029206214
29989,-0.02908414
30236,-0.029023103
30486,-0.02887051
30736,-0.028656881
30986,-0.02847377
31236,-0.02844325
31486,-0.02829066
31736,-0.028046511
31986,-0.027985474
32236,-0.027802363
32486,-0.02764977
32736,-0.027558215
32986,-0.027344584
33236,-0.02725303
33486,-0.027069919
33736,-0.026917325
33986,-0.026673177
34236,-0.026581623
34486,-0.02642903
34735,-0.026245918
34985,-0.026154364
35235,-0.025910215
35486,-0.025757622
35736,-0.025696585
35986,-0.025513474
36236,-0.025269326
36486,-0.025238808
36736,-0.025055697
36986,-0.024842067
37236,-0.024872586
37486,-0.024658956
37736,-0.024536882
37986,-0.024475845
38236,-0.024323253
38486,-0.024201179
38736,-0.023987548
38986,-0.02395703
39236,-0.023834957
39486,-0.023804437
39736,-0.023621326
39986,-0.023468735
40236,-0.023438215
40486,-0.023316141
40736,-0.023194067
40986,-0.023041476
41236,-0.023010956
41486,-0.022858365
41736,-0.022827845
41986,-0.022675253
42236,-0.02252266
42486,-0.022431105
42736,-0.022431105
42986,-0.022278512
43236,-0.022156438
43486,-0.02212592
43736,-0.022034364
43986,-0.022034364
44236,-0.021790216
44486,-0.021759698
44736,-0.021637624
44986,-0.021637624
45236,-0.021393476
45486,-0.021179846
45736,-0.021057772
45986,-0.020996734
46236,-0.02090518
46486,-0.020783106
46736,-0.020783106
46986,-0.020630512
47236,-0.02047792
47486,-0.02047792
47736,-0.020355847
47986,-0.02026429
48236,-0.020233773
48486,-0.020111699
48736,-0.019959105
48986,-0.019959105
49236,-0.01986755
49486,-0.019806514
49736,-0.01965392
