time,data/1433/norm1
0,0.051942505
1736,0.05145421
3488,0.05084384
5237,0.05032502
6987,0.04971465
8737,0.04910428
10487,0.048524432
12238,0.048066653
13989,0.047425766
15740,0.046845913
17488,0.046143986
19239,0.045533616
20985,0.044923246
22739,0.044312876
24488,0.043671988
26239,0.043061618
27988,0.04260384
29738,0.042023987
31488,0.041505173
33238,0.040894803
34988,0.040253915
36737,0.039643545
38488,0.039063692
40237,0.03848384
41985,0.03787347
43738,0.03729362
45489,0.03668325
47239,0.036194954
48988,0.035493027
50739,0.03500473
52488,0.03442488
54238,0.033875547
55987,0.03320414
57737,0.032593768
59488,0.03195288
61238,0.031403545
62987,0.030793177
64738,0.030152287
66487,0.029663991
68237,0.02908414
69988,0.028565325
71740,0.028046511
73487,0.027588733
75237,0.027069919
76991,0.026581623
78741,0.026093327
80490,0.025543993
82237,0.025055697
83988,0.024567401
85738,0.024140142
87489,0.023621326
89237,0.023071993
90988,0.022583697
92738,0.0220954
94487,0.021668142
96237,0.021149328
97987,0.020599995
99737,0.020142216
101488,0.019745477
103237,0.019226661
104988,0.018799402
106738,0.018250069
108487,0.017761772
110237,0.01721244
111988,0.01678518
113737,0.016296884
115488,0.015808588
117238,0.015320292
118989,0.014831996
120737,0.014404736
122487,0.013885922
124235,0.013458663
125987,0.012939848
127738,0.012512589
129487,0.012024293
131237,0.011658071
132987,0.011169774
134738,0.010742515
136485,0.010315256
138238,0.009887997
139988,0.009552293
141738,0.009125034
143487,0.008697775
145235,0.008239998
146988,0.007904294
148737,0.007477035
150488,0.0071108127
152238,0.006653035
153988,0.0062562944
155737,0.0057069613
157487,0.0051881466
159237,0.004852443
160987,0.0044557024
162738,0.0040589618
164487,0.0036927396
166236,0.003357036
167987,0.0029602954
169738,0.0026551103
171485,0.0022888882
173237,0.0018921476
174987,0.001495407
176737,0.0010681478
178487,0.0006714072
180238,0.00027466659
181988,3.051851e-05
183737,-0.0003051851
185490,-0.00054933317
187237,-0.0009460738
188988,-0.0013428144
190738,-0.0017090365
192487,-0.0020142216
194238,-0.0023804437
195987,-0.0027466659
197737,-0.0031434065
199488,-0.0033875545
201238,-0.003601184
202988,-0.003967406
204738,-0.00430311
206487,-0.0046998505
208238,-0.0050660726
209988,-0.005340739
211738,-0.005584887
213488,-0.006042665
215237,-0.0064394055
216988,-0.0068666646
218738,-0.007354961
220487,-0.007812738
222237,-0.008239998
223988,-0.00860622
225737,-0.009063997
227486,-0.009369182
229237,-0.0097964415
230988,-0.010162664
232738,-0.010589923
234487,-0.010956145
236238,-0.0112918485
237988,-0.011658071
239737,-0.012054811
241488,-0.012451552
243237,-0.012726218
244987,-0.013122959
246738,-0.013428144
248485,-0.013794366
250237,-0.014099551
251987,-0.014404736
253737,-0.014709922
255488,-0.01495407
257238,-0.015320292
258987,-0.015594958
260737,-0.015900144
262488,-0.01620533
264238,-0.016541032
265987,-0.016754663
267737,-0.017059848
269485,-0.017303996
271238,-0.01760918
272988,-0.017883847
274738,-0.018158514
276487,-0.0184637
278238,-0.018738365
279987,-0.019013032
281738,-0.019318217
283488,-0.019562365
285237,-0.019714957
286988,-0.019989625
288737,-0.020203253
290487,-0.020508438
292238,-0.020722069
293988,-0.020935697
295738,-0.021088291
297487,-0.021179846
299239,-0.021240883
300987,-0.021179846
302737,-0.021118809
304487,-0.020020142
306237,-0.030152287
307987,-0.03295999
309738,-0.030610066
311487,-0.02313303
313237,-0.014374218
314987,-0.0056764428
316738,-0.00024414808
318488,0.0040284432
320237,0.007354961
321987,0.010773034
323738,0.014007996
325487,0.018707847
327238,0.021637624
328988,0.023194067
330738,0.02377392
332488,0.023621326
334237,0.02313303
335988,0.021454513
337737,0.02148503
339488,0.02148503
341238,0.021454513
342987,0.020966217
344737,0.020386364
346488,0.019531846
348237,0.01925718
349988,0.017548144
351736,-0.0044557024
353488,-0.03753777
355237,-0.046143986
356988,-0.06488235
